,_id,_is_deleted,_vehicle._congestion_level,_vehicle._current_status,_vehicle._current_stop_sequence,_vehicle._occupancy_status,_vehicle._position._bearing,_vehicle._position._latitude,_vehicle._position._longitude,_vehicle._position._odometer,_vehicle._position._speed,_vehicle._stop_id,_vehicle._timestamp,_vehicle._trip._direction_id,_vehicle._trip._route_id,_vehicle._trip._schedule_relationship,_vehicle._trip._start_date,_vehicle._trip._start_time,_vehicle._trip._trip_id,_vehicle._vehicle._id,_vehicle._vehicle._label,timestamp,start_datetime,timedelta,distancia_al_final
56,49,False,0,2,61,0,0,-345111,-585125351,52772,0.0,6861103992,1674569470,0.0,99,0.0,20230124,09:30:00,9936-1,8575,1970-05-01 00:00:00,2023-01-24 11:11:51.567342,2023-01-24 09:30:00.000000,0 days 01:41:51.567342,0.0040769070543748
57,55,False,0,2,63,0,0,-3451094,-58512825,0,0.0,6861103985,1674569470,0.0,99,0.0,20230124,09:12:00,9930-1,8629,35-70,2023-01-24 11:11:51.567342,2023-01-24 09:12:00.000000,0 days 01:59:51.567342,0.0042535342128658
58,21,False,0,2,63,0,0,-3451106,-585126,52330,0.0,6861103985,1674569530,0.0,99,0.0,20230124,09:24:00,9934-1,8494,1970-04-01 00:00:00,2023-01-24 11:12:52.079477,2023-01-24 09:24:00.000000,0 days 01:48:52.079477,0.0041189701746915
59,36,False,0,2,66,0,0,-3463812,-5835716,24523,5277777.0,207307,1674569530,1.0,100,0.0,20230124,09:48:00,10275-1,8515,81-70,2023-01-24 11:12:52.079477,2023-01-24 09:48:00.000000,0 days 01:24:52.079477,0.0020994390107828
60,49,False,0,2,63,0,0,-3451109,-585125351,52772,0.0,6861103985,1674569530,0.0,99,0.0,20230124,09:30:00,9936-1,8575,1970-05-01 00:00:00,2023-01-24 11:12:52.079477,2023-01-24 09:30:00.000000,0 days 01:42:52.079477,0.0040869041009031
61,55,False,0,2,63,0,0,-3451093,-58512825,0,0.0,6861103985,1674569530,0.0,99,0.0,20230124,09:12:00,9930-1,8629,35-70,2023-01-24 11:12:52.079477,2023-01-24 09:12:00.000000,0 days 02:00:52.079477,0.0042634923830102
62,21,False,0,2,63,0,0,-3451106,-585126,52330,0.0,6861103985,1674569562,0.0,99,0.0,20230124,09:24:00,9934-1,8494,1970-04-01 00:00:00,2023-01-24 11:13:52.590552,2023-01-24 09:24:00.000000,0 days 01:49:52.590552,0.0041189701746915
63,49,False,0,2,63,0,0,-3451109,-585125351,52772,0.0,6861103985,1674569592,0.0,99,0.0,20230124,09:30:00,9936-1,8575,1970-05-01 00:00:00,2023-01-24 11:13:52.590552,2023-01-24 09:30:00.000000,0 days 01:43:52.590552,0.0040869041009031
64,55,False,0,2,63,0,0,-3451093,-58512825,0,0.0,6861103985,1674569592,0.0,99,0.0,20230124,09:12:00,9930-1,8629,35-70,2023-01-24 11:13:52.590552,2023-01-24 09:12:00.000000,0 days 02:01:52.590552,0.0042634923830102
65,21,False,0,2,63,0,0,-3451106,-5851259,52330,0.0,6861103985,1674569622,0.0,99,0.0,20230124,09:24:00,9934-1,8494,1970-04-01 00:00:00,2023-01-24 11:14:53.110875,2023-01-24 09:24:00.000000,0 days 01:50:53.110875,0.0041185838949813
66,49,False,0,2,63,0,0,-3451109,-585125351,52772,0.0,6861103985,1674569648,0.0,99,0.0,20230124,09:30:00,9936-1,8575,1970-05-01 00:00:00,2023-01-24 11:14:53.110875,2023-01-24 09:30:00.000000,0 days 01:44:53.110875,0.0040869041009031
67,55,False,0,2,63,0,0,-3451091,-5851284,0,0.0,6861103985,1674569648,0.0,99,0.0,20230124,09:12:00,9930-1,8629,35-70,2023-01-24 11:14:53.110875,2023-01-24 09:12:00.000000,0 days 02:02:53.110875,0.0042847979298886
68,56,False,0,2,65,0,0,-3463463,-5835926,74651,8055555.0,20853,1674591920,1.0,100,0.0,20230124,15:44:00,10393-1,8629,35-70,2023-01-24 20:25:20,2023-01-24 15:44:00,0 days 04:41:20,0.0044462496736013
69,35,False,0,2,65,0,0,-3463413,-583595543,75172,0.0,20853,1674592006,1.0,100,0.0,20230124,15:58:00,10397-1,8513,45-70,2023-01-24 20:26:46,2023-01-24 15:58:00,0 days 04:28:46,0.0049679321100457
70,83,False,0,2,65,0,0,-3463517,-5835898,51722,8888888.0,20853,1674592008,1.0,100,0.0,20230124,15:47:30,10394-1,13239,121-70,2023-01-24 20:26:48,2023-01-24 15:47:30,0 days 04:39:18,0.0039007466157125
71,35,False,0,2,65,0,0,-3463413,-583595543,75172,0.0,20853,1674592006,1.0,100,0.0,20230124,15:58:00,10397-1,8513,45-70,2023-01-24 20:26:46,2023-01-24 15:58:00,0 days 04:28:46,0.0049679321100457
72,83,False,0,2,66,0,0,-3463794,-5835732,52069,8333333.0,207307,1674592070,1.0,100,0.0,20230124,15:47:30,10394-1,13239,121-70,2023-01-24 20:27:50,2023-01-24 15:47:30,0 days 04:40:20,0.0020515233754443
73,85,False,0,2,66,0,0,-346366,-5835812,44611,0.555555,207307,1674592068,1.0,100,0.0,20230124,15:58:00,10397-1,19614,46-70,2023-01-24 20:27:48,2023-01-24 15:58:00,0 days 04:29:48,0.0026333666968349
74,84,False,0,2,66,0,0,-3463851,-5835729,44885,6111111.0,207307,1674592098,1.0,100,0.0,20230124,15:58:00,10397-1,19614,46-70,2023-01-24 20:28:18,2023-01-24 15:58:00,0 days 04:30:18,0.0018299213535028
75,70,False,0,2,66,0,0,-3463718,-5835776,50813,7.5,207307,1674592188,1.0,100,0.0,20230124,15:58:00,10397-1,8979,1970-08-01 00:00:00,2023-01-24 20:29:48,2023-01-24 15:58:00,0 days 04:31:48,0.0022785074412875
76,26,False,0,2,65,0,0,-3463414,-5835951,74452,0.0,20853,1674592310,1.0,100,0.0,20230124,15:51:00,10395-1,8501,40-70,2023-01-24 20:31:50,2023-01-24 15:51:00,0 days 04:40:50,0.0049535167467157
77,61,False,0,2,63,0,0,-3451105,-58512455,51009,2.5,6861103985,1674592306,0.0,99,0.0,20230124,15:45:00,10061-1,8910,80-70,2023-01-24 20:31:46,2023-01-24 15:45:00,0 days 04:46:46,0.0041257442116574
78,4,False,0,2,63,0,0,-3451065,-585127258,51341,3055555.0,6861103985,1674592368,0.0,99,0.0,20230124,15:48:00,10062-1,2368,90-70,2023-01-24 20:32:48,2023-01-24 15:48:00,0 days 04:44:48,0.0045349754685133
79,8,False,0,2,63,0,0,-3451082,-5851262,50631,5.0,6861103985,1674592370,0.0,99,0.0,20230124,15:33:00,10057-1,8469,71-70,2023-01-24 20:32:50,2023-01-24 15:33:00,0 days 04:59:50,0.0043595888911663
80,26,False,0,2,65,0,0,-3463549,-583588142,74614,0.0,20853,1674592370,1.0,100,0.0,20230124,15:51:00,10395-1,8501,40-70,2023-01-24 20:32:50,2023-01-24 15:51:00,0 days 04:41:50,0.003587018399734
81,4,False,0,1,63,0,0,-3451158,-5851216,51461,3611111.0,6861103985,1674592424,0.0,99,0.0,20230124,15:48:00,10062-1,2368,90-70,2023-01-24 20:33:44,2023-01-24 15:48:00,0 days 04:45:44,0.0036062694436198
82,17,False,0,2,65,0,0,-3463553,-5835878,50904,11666666.0,20853,1674592428,1.0,100,0.0,20230124,16:05:00,10399-1,8485,22-70,2023-01-24 20:33:48,2023-01-24 16:05:00,0 days 04:28:48,0.0035493571474265
83,26,False,0,2,66,0,0,-3463669,-5835808,74778,4444444.0,207307,1674592426,1.0,100,0.0,20230124,15:51:00,10395-1,8501,40-70,2023-01-24 20:33:46,2023-01-24 15:51:00,0 days 04:42:46,0.0025637098431756
84,53,False,0,2,63,0,0,-3451099,-5851246,51218,4722222.0,6861103985,1674592486,0.0,99,0.0,20230124,15:36:00,10058-1,8595,56-70,2023-01-24 20:34:46,2023-01-24 15:36:00,0 days 04:58:46,0.0041857693796966
85,50,False,0,2,63,0,0,-3451102,-585125,141252,3055555.0,6861103985,1674592550,0.0,99,0.0,20230124,15:42:00,10060-1,8577,115-70,2023-01-24 20:35:50,2023-01-24 15:42:00,0 days 04:53:50,0.0041561943289488
86,69,False,0,2,65,0,0,-3463599,-583585548,145818,10.0,20853,1674592546,1.0,100,0.0,20230124,16:01:30,10398-1,8977,106-70,2023-01-24 20:35:46,2023-01-24 16:01:30,0 days 04:34:16,0.0031171435642282
87,32,False,0,2,63,0,0,-3451062,-585127449,50898,3055555.0,6861103985,1674592606,0.0,99,0.0,20230124,15:39:00,10059-1,8510,82-70,2023-01-24 20:36:46,2023-01-24 15:39:00,0 days 04:57:46,0.0045661672647831
88,45,False,0,2,62,0,0,-3451027,-585129547,50917,6388888.0,6861103987,1674592606,0.0,99,0.0,20230124,15:45:00,10061-1,8534,86-70,2023-01-24 20:36:46,2023-01-24 15:45:00,0 days 04:51:46,0.0049330564491013
89,65,False,0,2,65,0,0,-3463645,-583582649,51043,3055555.0,20853,1674592786,1.0,100,0.0,20230124,16:12:00,10401-1,8964,59-70,2023-01-24 20:39:46,2023-01-24 16:12:00,0 days 04:27:46,0.0027303733389382
90,81,False,0,2,65,0,0,-3463435,-5835943,44270,0.0,20853,1674592790,1.0,100,0.0,20230124,16:05:00,10399-1,9953,44-70,2023-01-24 20:39:50,2023-01-24 16:05:00,0 days 04:34:50,0.0047371489484749
91,77,False,0,2,66,0,0,-3463767,-5835752,102318,7777777.0,207307,1674592850,1.0,100,0.0,20230124,16:05:00,10399-1,9085,84-70,2023-01-24 20:40:50,2023-01-24 16:05:00,0 days 04:35:50,0.0020608891673252
92,81,False,0,2,66,0,0,-3463782,-583574257,44760,8333333.0,207307,1674592848,1.0,100,0.0,20230124,16:05:00,10399-1,9953,44-70,2023-01-24 20:40:48,2023-01-24 16:05:00,0 days 04:35:48,0.0020356079804336
93,36,False,0,2,66,0,0,-3463766,-5835747,60707,6111111.0,207307,1674592966,1.0,100,0.0,20230124,16:08:30,10400-1,8515,81-70,2023-01-24 20:42:46,2023-01-24 16:08:30,0 days 04:34:16,0.0021045360914017
94,89,False,0,2,63,0,0,-3451099,-58512825,0,0.0,6861103985,1674593088,0.0,99,0.0,20230124,16:03:00,10067-1,19994,16-70,2023-01-24 20:44:48,2023-01-24 16:03:00,0 days 04:41:48,0.0042037463410636
95,90,False,0,2,63,0,0,-3451099,-5851284,0,0.0,6861103985,1674593148,0.0,99,0.0,20230124,16:03:00,10067-1,19994,16-70,2023-01-24 20:45:48,2023-01-24 16:03:00,0 days 04:42:48,0.0042051612692028
96,88,False,0,2,66,0,0,-3463795,-5835698,45326,4444444.0,207307,1674593208,1.0,100,0.0,20230124,16:05:00,10399-1,19614,46-70,2023-01-24 20:46:48,2023-01-24 16:05:00,0 days 04:41:48,0.0023379478522856
97,90,False,0,2,63,0,0,-3451099,-5851284,0,0.0,6861103985,1674593178,0.0,99,0.0,20230124,16:03:00,10067-1,19994,16-70,2023-01-24 20:46:18,2023-01-24 16:03:00,0 days 04:43:18,0.0042051612692028
98,88,False,0,2,65,0,0,-3463573,-583585854,45618,0.0,20853,1674593268,1.0,100,0.0,20230124,16:05:00,10399-1,19614,46-70,2023-01-24 20:47:48,2023-01-24 16:05:00,0 days 04:42:48,0.0033701222114324
99,90,False,0,2,63,0,0,-3451099,-5851284,0,0.0,6861103985,1674593268,0.0,99,0.0,20230124,16:03:00,10067-1,19994,16-70,2023-01-24 20:47:48,2023-01-24 16:03:00,0 days 04:44:48,0.0042051612692028
100,28,False,0,2,65,0,0,-3463613,-5835838,74811,113888884.0,20853,1674593328,1.0,100,0.0,20230124,16:15:30,10402-1,8504,47-70,2023-01-24 20:48:48,2023-01-24 16:15:30,0 days 04:33:18,0.0030118194102573
